Vendor Name,Model Name,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
c.r.d,universe:68/05,320.00,256.00,3000.00,4.00,1.00,3.00,27.00,22.00
c.r.d,universe:68/137,320.00,512.00,5000.00,4.00,1.00,5.00,77.00,28.00
c.r.d,universe:68/37,320.00,256.00,5000.00,4.00,1.00,6.00,27.00,27.00
cdc,cyber:170/750,25.00,1310.00,2620.00,131.00,12.00,24.00,274.00,102.00
cdc,cyber:170/760,25.00,1310.00,2620.00,131.00,12.00,24.00,368.00,102.00
cdc,cyber:170/815,50.00,2620.00,10480.00,30.00,12.00,24.00,32.00,74.00
cdc,cyber:170/825,50.00,2620.00,10480.00,30.00,12.00,24.00,63.00,74.00
cdc,cyber:170/835,56.00,5240.00,20970.00,30.00,12.00,24.00,106.00,138.00
cdc,cyber:170/845,64.00,5240.00,20970.00,30.00,12.00,24.00,208.00,136.00
cdc,omega:480-i,50.00,500.00,2000.00,8.00,1.00,4.00,20.00,23.00
cdc,omega:480-ii,50.00,1000.00,4000.00,8.00,1.00,5.00,29.00,29.00
cdc,omega:480-iii,50.00,2000.00,8000.00,8.00,1.00,5.00,71.00,44.00
cambex,1636-1,50.00,1000.00,4000.00,8.00,3.00,5.00,26.00,30.00
cambex,1636-10,50.00,1000.00,8000.00,8.00,3.00,5.00,36.00,41.00
cambex,1641-1,50.00,2000.00,16000.00,8.00,3.00,5.00,40.00,74.00
cambex,1641-11,50.00,2000.00,16000.00,8.00,3.00,6.00,52.00,74.00
cambex,1651-1,50.00,2000.00,16000.00,8.00,3.00,6.00,60.00,74.00
dec,decsys:10:1091,133.00,1000.00,12000.00,9.00,3.00,12.00,72.00,54.00
dec,decsys:20:2060,133.00,1000.00,8000.00,9.00,3.00,12.00,72.00,41.00
dec,microvax-1,810.00,512.00,512.00,8.00,1.00,1.00,18.00,18.00
dec,vax:11/730,810.00,1000.00,5000.00,0.00,1.00,1.00,20.00,28.00
dec,vax:11/750,320.00,512.00,8000.00,4.00,1.00,5.00,40.00,36.00
dec,vax:11/780,200.00,512.00,8000.00,8.00,1.00,8.00,62.00,38.00
dg,eclipse:c/350,700.00,384.00,8000.00,0.00,1.00,1.00,24.00,34.00
dg,eclipse:m/600,700.00,256.00,2000.00,0.00,1.00,1.00,24.00,19.00
dg,eclipse:mv/10000,140.00,1000.00,16000.00,16.00,1.00,3.00,138.00,72.00
dg,eclipse:mv/4000,200.00,1000.00,8000.00,0.00,1.00,2.00,36.00,36.00
dg,eclipse:mv/6000,110.00,1000.00,4000.00,16.00,1.00,2.00,26.00,30.00
dg,eclipse:mv/8000,110.00,1000.00,12000.00,16.00,1.00,2.00,60.00,56.00
dg,eclipse:mv/8000-ii,220.00,1000.00,8000.00,16.00,1.00,2.00,71.00,42.00
formation,f4000/100,800.00,256.00,8000.00,0.00,1.00,4.00,12.00,34.00
formation,f4000/200,800.00,256.00,8000.00,0.00,1.00,4.00,14.00,34.00
formation,f4000/200ap,800.00,256.00,8000.00,0.00,1.00,4.00,20.00,34.00
formation,f4000/300,800.00,256.00,8000.00,0.00,1.00,4.00,16.00,34.00
formation,f4000/300ap,800.00,256.00,8000.00,0.00,1.00,4.00,22.00,34.00
four-phase,2000/260,125.00,512.00,1000.00,0.00,8.00,20.00,36.00,19.00
gould,concept:32/8705,75.00,2000.00,8000.00,64.00,1.00,38.00,144.00,75.00
gould,concept:32/8750,75.00,2000.00,16000.00,64.00,1.00,38.00,144.00,113.00
gould,concept:32/8780,75.00,2000.00,16000.00,128.00,1.00,38.00,259.00,157.00
hp,3000/30,90.00,256.00,1000.00,0.00,3.00,10.00,17.00,18.00
hp,3000/40,105.00,256.00,2000.00,0.00,3.00,10.00,26.00,20.00
hp,3000/44,105.00,1000.00,4000.00,0.00,3.00,24.00,32.00,28.00
hp,3000/48,105.00,2000.00,4000.00,8.00,3.00,19.00,32.00,33.00
hp,3000/64,75.00,2000.00,8000.00,8.00,3.00,24.00,62.00,47.00
hp,3000/88,75.00,3000.00,8000.00,8.00,3.00,48.00,64.00,54.00
hp,3000/iii,175.00,256.00,2000.00,0.00,3.00,24.00,22.00,20.00
harris,100,300.00,768.00,3000.00,0.00,6.00,24.00,36.00,23.00
harris,300,300.00,768.00,3000.00,6.00,6.00,24.00,44.00,25.00
harris,500,300.00,768.00,12000.00,6.00,6.00,24.00,50.00,52.00
harris,600,300.00,768.00,4500.00,0.00,1.00,24.00,45.00,27.00
harris,700,300.00,384.00,12000.00,6.00,1.00,24.00,53.00,50.00
harris,80,300.00,192.00,768.00,6.00,6.00,24.00,36.00,18.00
harris,800,180.00,768.00,12000.00,6.00,1.00,31.00,84.00,53.00
honeywell,dps:6/35,330.00,1000.00,3000.00,0.00,2.00,4.00,16.00,23.00
honeywell,dps:6/92,300.00,1000.00,4000.00,8.00,3.00,64.00,38.00,30.00
honeywell,dps:6/96,300.00,1000.00,16000.00,8.00,2.00,112.00,38.00,73.00
honeywell,dps:7/35,330.00,1000.00,2000.00,0.00,1.00,2.00,16.00,20.00
honeywell,dps:7/45,330.00,1000.00,4000.00,0.00,3.00,6.00,22.00,25.00
honeywell,dps:7/55,140.00,2000.00,4000.00,0.00,3.00,6.00,29.00,28.00
honeywell,dps:7/65,140.00,2000.00,4000.00,0.00,4.00,8.00,40.00,29.00
honeywell,dps:8/44,140.00,2000.00,4000.00,8.00,1.00,20.00,35.00,32.00
honeywell,dps:8/49,140.00,2000.00,32000.00,32.00,1.00,20.00,134.00,175.00
honeywell,dps:8/50,140.00,2000.00,8000.00,32.00,1.00,54.00,66.00,57.00
honeywell,dps:8/52,140.00,2000.00,32000.00,32.00,1.00,54.00,141.00,181.00
honeywell,dps:8/62,140.00,2000.00,32000.00,32.00,1.00,54.00,189.00,181.00
honeywell,dps:8/20,140.00,2000.00,4000.00,8.00,1.00,20.00,22.00,32.00
ibm,3033:s,57.00,4000.00,16000.00,1.00,6.00,12.00,132.00,82.00
ibm,3033:u,57.00,4000.00,24000.00,64.00,12.00,16.00,237.00,171.00
ibm,3081,26.00,16000.00,32000.00,64.00,16.00,24.00,465.00,361.00
ibm,3081:d,26.00,16000.00,32000.00,64.00,8.00,24.00,465.00,350.00
ibm,3083:b,26.00,8000.00,32000.00,0.00,8.00,24.00,277.00,220.00
ibm,3083:e,26.00,8000.00,16000.00,0.00,8.00,16.00,185.00,113.00
ibm,370/125-2,480.00,96.00,512.00,0.00,1.00,1.00,6.00,15.00
ibm,370/148,203.00,1000.00,2000.00,0.00,1.00,5.00,24.00,21.00
ibm,370/158-3,115.00,512.00,6000.00,16.00,1.00,6.00,45.00,35.00
ibm,38/3,1100.00,512.00,1500.00,0.00,1.00,1.00,7.00,18.00
ibm,38/4,1100.00,768.00,2000.00,0.00,1.00,1.00,13.00,20.00
ibm,38/5,600.00,768.00,2000.00,0.00,1.00,1.00,16.00,20.00
ibm,38/7,400.00,2000.00,4000.00,0.00,1.00,1.00,32.00,28.00
ibm,38/8,400.00,4000.00,8000.00,0.00,1.00,1.00,32.00,45.00
ibm,4321,900.00,1000.00,1000.00,0.00,1.00,2.00,11.00,18.00
ibm,4331-1,900.00,512.00,1000.00,0.00,1.00,2.00,11.00,17.00
ibm,4331-11,900.00,1000.00,4000.00,4.00,1.00,2.00,18.00,26.00
ibm,4331-2,900.00,1000.00,4000.00,8.00,1.00,2.00,22.00,28.00
ibm,4341,900.00,2000.00,4000.00,0.00,3.00,6.00,37.00,28.00
ibm,4341-1,225.00,2000.00,4000.00,8.00,3.00,6.00,40.00,31.00
ibm,4341-10,225.00,2000.00,4000.00,8.00,3.00,6.00,34.00,31.00
ibm,4341-11,180.00,2000.00,8000.00,8.00,1.00,6.00,50.00,42.00
ibm,4341-12,185.00,2000.00,16000.00,16.00,1.00,6.00,76.00,76.00
ibm,4341-2,180.00,2000.00,16000.00,16.00,1.00,6.00,66.00,76.00
ibm,4341-9,225.00,1000.00,4000.00,2.00,3.00,6.00,24.00,26.00
ibm,4361-4,25.00,2000.00,12000.00,8.00,1.00,4.00,49.00,59.00
ibm,4361-5,25.00,2000.00,12000.00,16.00,3.00,5.00,66.00,65.00
ibm,4381-1,17.00,4000.00,16000.00,8.00,6.00,12.00,100.00,101.00
ibm,4381-2,17.00,4000.00,16000.00,32.00,6.00,12.00,133.00,116.00
ibm,8130-a,1500.00,768.00,1000.00,0.00,0.00,0.00,12.00,18.00
ibm,8130-b,1500.00,768.00,2000.00,0.00,0.00,0.00,18.00,20.00
ibm,8140,800.00,768.00,2000.00,0.00,0.00,0.00,20.00,20.00
ipl,4436,50.00,2000.00,4000.00,0.00,3.00,6.00,27.00,30.00
ipl,4443,50.00,2000.00,8000.00,8.00,3.00,6.00,45.00,44.00
ipl,4445,50.00,2000.00,8000.00,8.00,1.00,6.00,56.00,44.00
ipl,4446,50.00,2000.00,16000.00,24.00,1.00,6.00,70.00,82.00
ipl,4460,50.00,2000.00,16000.00,24.00,1.00,6.00,80.00,82.00
ipl,4480,50.00,8000.00,16000.00,48.00,1.00,10.00,136.00,128.00
magnuson,m80/30,100.00,1000.00,8000.00,0.00,2.00,6.00,16.00,37.00
magnuson,m80/31,100.00,1000.00,8000.00,24.00,2.00,6.00,26.00,46.00
magnuson,m80/32,100.00,1000.00,8000.00,24.00,3.00,6.00,32.00,46.00
magnuson,m80/42,50.00,2000.00,16000.00,12.00,3.00,16.00,45.00,80.00
magnuson,m80/43,50.00,2000.00,16000.00,24.00,6.00,16.00,54.00,88.00
magnuson,m80/44,50.00,2000.00,16000.00,24.00,6.00,16.00,65.00,88.00
microdata,seq.ms/3200,150.00,512.00,4000.00,0.00,8.00,128.00,30.00,33.00
nas,as/3000,115.00,2000.00,8000.00,16.00,1.00,3.00,50.00,46.00
nas,as/3000-n,115.00,2000.00,4000.00,2.00,1.00,5.00,40.00,29.00
nas,as/5000,92.00,2000.00,8000.00,32.00,1.00,6.00,62.00,53.00
nas,as/5000-e,92.00,2000.00,8000.00,32.00,1.00,6.00,60.00,53.00
nas,as/5000-n,92.00,2000.00,8000.00,4.00,1.00,6.00,50.00,41.00
nas,as/6130,75.00,4000.00,16000.00,16.00,1.00,6.00,66.00,86.00
nas,as/6150,60.00,4000.00,16000.00,32.00,1.00,6.00,86.00,95.00
nas,as/6620,60.00,2000.00,16000.00,64.00,5.00,8.00,74.00,107.00
nas,as/6630,60.00,4000.00,16000.00,64.00,5.00,8.00,93.00,117.00
nas,as/6650,50.00,4000.00,16000.00,64.00,5.00,10.00,111.00,119.00
nas,as/7000,72.00,4000.00,16000.00,64.00,8.00,16.00,143.00,120.00
nas,as/7000-n,72.00,2000.00,8000.00,16.00,6.00,8.00,105.00,48.00
nas,as/8040,40.00,8000.00,16000.00,32.00,8.00,16.00,214.00,126.00
nas,as/8050,40.00,8000.00,32000.00,64.00,8.00,24.00,277.00,266.00
nas,as/8060,35.00,8000.00,32000.00,64.00,8.00,24.00,370.00,270.00
nas,as/9000-dpc,38.00,16000.00,32000.00,128.00,16.00,32.00,510.00,426.00
nas,as/9000-n,48.00,4000.00,24000.00,32.00,8.00,24.00,214.00,151.00
nas,as/9040,38.00,8000.00,32000.00,64.00,8.00,24.00,326.00,267.00
nas,as/9060,30.00,16000.00,32000.00,256.00,16.00,24.00,510.00,603.00
ncr,v8535:ii,112.00,1000.00,1000.00,0.00,1.00,4.00,8.00,19.00
ncr,v8545:ii,84.00,1000.00,2000.00,0.00,1.00,6.00,12.00,21.00
ncr,v8555:ii,56.00,1000.00,4000.00,0.00,1.00,6.00,17.00,26.00
ncr,v8565:ii,56.00,2000.00,6000.00,0.00,1.00,8.00,21.00,35.00
ncr,v8565:ii-e,56.00,2000.00,8000.00,0.00,1.00,8.00,24.00,41.00
ncr,v8575:ii,56.00,4000.00,8000.00,0.00,1.00,8.00,34.00,47.00
ncr,v8585:ii,56.00,4000.00,12000.00,0.00,1.00,8.00,42.00,62.00
ncr,v8595:ii,56.00,4000.00,16000.00,0.00,1.00,8.00,46.00,78.00
ncr,v8635,38.00,4000.00,8000.00,32.00,16.00,32.00,51.00,80.00
ncr,v8650,38.00,4000.00,8000.00,32.00,16.00,32.00,116.00,80.00
ncr,v8655,38.00,8000.00,16000.00,64.00,4.00,8.00,100.00,142.00
ncr,v8665,38.00,8000.00,24000.00,160.00,4.00,8.00,140.00,281.00
ncr,v8670,38.00,4000.00,16000.00,128.00,16.00,32.00,212.00,190.00
nixdorf,8890/30,200.00,1000.00,2000.00,0.00,1.00,2.00,25.00,21.00
nixdorf,8890/50,200.00,1000.00,4000.00,0.00,1.00,4.00,30.00,25.00
nixdorf,8890/70,200.00,2000.00,8000.00,64.00,1.00,5.00,41.00,67.00
perkin-elmer,3205,250.00,512.00,4000.00,0.00,1.00,7.00,25.00,24.00
perkin-elmer,3210,250.00,512.00,4000.00,0.00,4.00,7.00,50.00,24.00
perkin-elmer,3230,250.00,1000.00,16000.00,1.00,1.00,8.00,50.00,64.00
prime,50-2250,160.00,512.00,4000.00,2.00,1.00,5.00,30.00,25.00
prime,50-250-ii,160.00,512.00,2000.00,2.00,3.00,8.00,32.00,20.00
prime,50-550-ii,160.00,1000.00,4000.00,8.00,1.00,14.00,38.00,29.00
prime,50-750-ii,160.00,1000.00,8000.00,16.00,1.00,14.00,60.00,43.00
prime,50-850-ii,160.00,2000.00,8000.00,32.00,1.00,13.00,109.00,53.00
siemens,7.521,240.00,512.00,1000.00,8.00,1.00,3.00,6.00,19.00
siemens,7.531,240.00,512.00,2000.00,8.00,1.00,5.00,11.00,22.00
siemens,7.536,105.00,2000.00,4000.00,8.00,3.00,8.00,22.00,31.00
siemens,7.541,105.00,2000.00,6000.00,16.00,6.00,16.00,33.00,41.00
siemens,7.551,105.00,2000.00,8000.00,16.00,4.00,14.00,58.00,47.00
siemens,7.561,52.00,4000.00,16000.00,32.00,4.00,12.00,130.00,99.00
siemens,7.865-2,70.00,4000.00,12000.00,8.00,6.00,8.00,75.00,67.00
siemens,7.870-2,59.00,4000.00,12000.00,32.00,6.00,12.00,113.00,81.00
siemens,7.872-2,59.00,8000.00,16000.00,64.00,12.00,24.00,188.00,149.00
siemens,7.875-2,26.00,8000.00,24000.00,32.00,8.00,16.00,173.00,183.00
siemens,7.880-2,26.00,8000.00,32000.00,64.00,12.00,16.00,248.00,275.00
siemens,7.881-2,26.00,8000.00,32000.00,128.00,24.00,32.00,405.00,382.00
sperry,1100/61-h1,116.00,2000.00,8000.00,32.00,5.00,28.00,70.00,56.00
sperry,1100/81,50.00,2000.00,32000.00,24.00,6.00,26.00,114.00,182.00
sperry,1100/82,50.00,2000.00,32000.00,48.00,26.00,52.00,208.00,227.00
sperry,1100/83,50.00,2000.00,32000.00,112.00,52.00,104.00,307.00,341.00
sperry,1100/84,50.00,4000.00,32000.00,112.00,52.00,104.00,397.00,360.00
sperry,1100/93,30.00,8000.00,64000.00,96.00,12.00,176.00,915.00,919.00
sperry,1100/94,30.00,8000.00,64000.00,128.00,12.00,176.00,1150.00,978.00
sperry,80/3,180.00,262.00,4000.00,0.00,1.00,3.00,12.00,24.00
sperry,80/4,180.00,512.00,4000.00,0.00,1.00,3.00,14.00,24.00
sperry,80/5,180.00,262.00,4000.00,0.00,1.00,3.00,18.00,24.00
sperry,80/6,180.00,512.00,4000.00,0.00,1.00,3.00,21.00,24.00
sperry,80/8,124.00,1000.00,8000.00,0.00,1.00,8.00,42.00,37.00
sperry,90/80-model-3,98.00,1000.00,8000.00,32.00,2.00,8.00,46.00,50.00
sratus,32,125.00,2000.00,8000.00,0.00,2.00,14.00,52.00,41.00
wang,vs-100,480.00,512.00,8000.00,32.00,0.00,0.00,67.00,47.00
wang,vs-90,480.00,1000.00,4000.00,0.00,0.00,0.00,45.00,25.00
